"AtomID","TEST","detail"
"110864_1749729228_1_4032059#1749793333#61310#Wake","TEST4","TEST4: wa??ke"
"110864_1749729228_1_4032059#1749941384#24904#Rest","TEST4","TEST4: re//st"
"110864_1749729228_1_4032059#1750070269#55800#Wake","TEST4","TEST4: wa!!ke"
"110864_1749729228_1_4032059#1750400805#60445#Wake","TEST4","TEST4: wa!!ke"
"111705_1749224532_1_4032059#1749334366#29510#Rest","TEST4","TEST4: 13//.1"
"111705_1749224532_1_4032059#1749533660#55484#Wake","TEST4","TEST4: wa??ke"
"111705_1749224532_1_4032059#1749680063#29976#Rest","TEST4","TEST4: re??st"
"111705_1749224532_1_4032059#1749852129#26877#Rest","TEST4","TEST4: 13??.1"
"111705_1749224532_1_4032059#1750052022#34847#Wake","TEST4","TEST4: wa??ke"
"111705_1749224532_1_4032059#1750225309#72877#Wake","TEST4","TEST4: 14.9!!.3.2"
"111705_1749224532_1_4032059#1750298186#14184#Rest","TEST4","TEST4: re??st"
"111706_1749476168_1_4032059#1749616942#59452#Wake","TEST4","TEST4: wa//ke"
"111706_1749476168_1_4032059#1750134627#60332#Wake","TEST4","TEST4: 14.9??.3.2"
"111706_1749476168_1_4032059#1750481704#58322#Wake","TEST4","TEST4: 14.9!!.3.2"
"111707_1749218555_1_4032059#1749369688#52875#Wake","TEST4","TEST4: 14.9//.3.2"
"111707_1749218555_1_4032059#1749422563#28868#Rest","TEST4","TEST4: 13!!.1"
"111707_1749218555_1_4032059#1749886341#48854#Wake","TEST4","TEST4: wa!!ke"
"111707_1749218555_1_4032059#1750113243#27040#Rest","TEST4","TEST4: 13!!.1"
"111707_1749218555_1_4032059#1750197641#29194#Rest","TEST4","TEST4: 13!!.1"
"111707_1749218555_1_4032059#1750315685#55048#Wake","TEST4","TEST4: 14.9!!.3.2"
"111708_1749217464_1_4032059#1749247481#25362#Rest","TEST4","TEST4: 13??.1"
"111708_1749217464_1_4032059#1749504448#24461#Rest","TEST4","TEST4: re//st"
"111708_1749217464_1_4032059#1749701714#63065#Wake","TEST4","TEST4: 14.9//.3.2"
"111708_1749217464_1_4032059#1749764779#25898#Rest","TEST4","TEST4: re//st"
"111708_1749217464_1_4032059#1749880796#57725#Wake","TEST4","TEST4: 14.9??.3.2"
"111708_1749217464_1_4032059#1749960517#63461#Wake","TEST4","TEST4: wa!!ke"
"111708_1749217464_1_4032059#1750295997#72911#Wake","TEST4","TEST4: wa//ke"
"111710_1749218067_1_4032059#1749770927#23889#Rest","TEST4","TEST4: re!!st"
"111710_1749218067_1_4032059#1750118027#22200#Rest","TEST4","TEST4: re!!st"
"111710_1749218067_1_4032059#1750225254#65290#Wake","TEST4","TEST4: 14.9??.3.2"
"111710_1749218067_1_4032059#1750313814#63263#Wake","TEST4","TEST4: wa!!ke"
"111853_1749724462_1_4032059#1749801610#31240#Wake","TEST4","TEST4: wa!!ke"
"111853_1749724462_1_4032059#1750279696#78405#NonWear","TEST4","TEST4: non//wear"
"111853_1749724462_1_4032059#1750362812#75535#NonWear","TEST4","TEST4: non!!wear"
"111853_1749724462_1_4032059#1750443707#11064#Wake","TEST4","TEST4: 14.9//.3.2"
"111854_1750412601_1_4032059#1750486219#77080#Wake","TEST4","TEST4: 14.9??.3.2"
"111854_1750412601_1_4032059#1750645305#14039#Rest","TEST4","TEST4: re??st"
"111854_1750412601_1_4032059#1750659344#69272#Wake","TEST4","TEST4: 14.9??.3.2"
"111854_1750412601_1_4032059#1750728616#6369#Rest","TEST4","TEST4: 13!!.1"
"111854_1750412601_1_4032059#1751259511#9571#Rest","TEST4","TEST4: re!!st"
"111854_1750412601_1_4032059#1751434155#82670#Wake","TEST4","TEST4: 14.9!!.3.2"
"111854_1750412601_1_4032059#1751606174#5494#Rest","TEST4","TEST4: re!!st"
"111854_1750412601_1_4032059#1751611668#8147#Wake","TEST4","TEST4: wa??ke"
